[10/05/21 13:57:09] Server Open OK # Port:20000
[10/05/21 15:30:11] Connect Session # IP:127.0.0.1 / SessionID:40 
[10/05/21 15:30:33] Connect Session # IP:127.0.0.1 / SessionID:41 
[10/05/21 15:30:34] Frame : 26  Loop : 12278
[10/05/21 15:30:35] Frame : 26  Loop : 17410
[10/05/21 15:31:21] Connect Session # IP:127.0.0.1 / SessionID:42 
[10/05/21 15:35:06] Connect Session # IP:127.0.0.1 / SessionID:43 
[10/05/21 15:35:15] Connect Session # IP:127.0.0.1 / SessionID:44 
[10/05/21 15:35:52] Frame : 26  Loop : 12441
[10/05/21 15:35:53] Connect Session # IP:127.0.0.1 / SessionID:45 
[10/05/21 15:36:04] Frame : 26  Loop : 17072
[10/05/21 15:36:04] Connect Session # IP:127.0.0.1 / SessionID:46 
[10/05/21 15:37:17] Frame : 26  Loop : 19957
[10/05/21 15:37:20] Connect Session # IP:127.0.0.1 / SessionID:47 
[10/05/21 15:38:24] Frame : 26  Loop : 16213
[10/05/21 15:38:27] Connect Session # IP:127.0.0.1 / SessionID:48 
[10/05/21 15:42:53] Connect Session # IP:127.0.0.1 / SessionID:49 
[10/05/21 15:42:54] Frame : 24  Loop : 16839
[10/05/21 15:42:55] Frame : 27  Loop : 17255
[10/05/21 15:43:24] Connect Session # IP:127.0.0.1 / SessionID:50 
[10/05/21 15:43:26] Frame : 26  Loop : 10308
[10/05/21 15:43:34] Frame : 26  Loop : 21334
[10/05/21 15:44:25] Connect Session # IP:127.0.0.1 / SessionID:51 
[10/05/21 15:45:03] Connect Session # IP:127.0.0.1 / SessionID:52 
[10/05/21 15:45:23] Frame : 26  Loop : 14229
[10/05/21 15:45:27] Connect Session # IP:127.0.0.1 / SessionID:53 
[10/05/21 15:46:27] Frame : 26  Loop : 18932
[10/05/21 15:46:40] Connect Session # IP:127.0.0.1 / SessionID:54 
[10/05/21 15:47:04] Connect Session # IP:127.0.0.1 / SessionID:55 
[10/05/21 15:47:13] Connect Session # IP:127.0.0.1 / SessionID:56 
[10/05/21 15:47:14] Frame : 26  Loop : 13769
[10/05/21 15:47:15] Frame : 27  Loop : 16880
[10/05/21 15:47:58] Frame : 26  Loop : 16339
[10/05/21 15:48:11] Frame : 26  Loop : 15664
[10/05/21 15:48:23] Connect Session # IP:127.0.0.1 / SessionID:57 
[10/05/21 15:48:48] Frame : 26  Loop : 18335
[10/05/21 15:49:48] Connect Session # IP:127.0.0.1 / SessionID:58 
[10/05/21 15:50:00] Connect Session # IP:127.0.0.1 / SessionID:59 
[10/05/21 15:50:12] Frame : 26  Loop : 13259
[10/05/21 15:50:13] Connect Session # IP:127.0.0.1 / SessionID:60 
[10/05/21 15:50:24] Connect Session # IP:127.0.0.1 / SessionID:61 
[10/05/21 15:50:30] Connect Session # IP:127.0.0.1 / SessionID:62 
[10/05/21 15:50:42] Frame : 26  Loop : 16164
[10/05/21 15:50:43] Connect Session # IP:127.0.0.1 / SessionID:63 
[10/05/21 15:53:07] Connect Session # IP:127.0.0.1 / SessionID:64 
[10/05/21 15:53:27] Connect Session # IP:127.0.0.1 / SessionID:65 
[10/05/21 15:53:34] Frame : 26  Loop : 11184
[10/05/21 15:53:35] Frame : 26  Loop : 19323
[10/05/21 15:53:35] Connect Session # IP:127.0.0.1 / SessionID:66 
[10/05/21 15:55:43] Connect Session # IP:127.0.0.1 / SessionID:67 
[10/05/21 15:57:49] Frame : 26  Loop : 9761
[10/05/21 15:57:51] Connect Session # IP:127.0.0.1 / SessionID:68 
[10/05/21 15:58:10] Connect Session # IP:127.0.0.1 / SessionID:69 
[10/05/21 15:58:23] Frame : 27  Loop : 14894
[10/05/21 15:58:23] Connect Session # IP:127.0.0.1 / SessionID:70 
[10/05/21 15:58:44] Frame : 26  Loop : 22418
[10/05/21 16:00:53] Connect Session # IP:127.0.0.1 / SessionID:71 
[10/05/21 16:01:42] Connect Session # IP:127.0.0.1 / SessionID:72 
[10/05/21 16:06:29] Frame : 26  Loop : 13237
[10/05/21 16:06:36] Frame : 26  Loop : 14536
[10/05/21 16:06:39] Connect Session # IP:127.0.0.1 / SessionID:73 
[10/05/21 16:07:33] Frame : 26  Loop : 18787
[10/05/21 16:07:50] Connect Session # IP:127.0.0.1 / SessionID:74 
[10/05/21 16:07:52] Frame : 26  Loop : 18689
[10/05/21 16:10:12] Connect Session # IP:127.0.0.1 / SessionID:75 
[10/05/21 16:10:47] Connect Session # IP:127.0.0.1 / SessionID:76 
[10/05/21 16:10:57] Connect Session # IP:127.0.0.1 / SessionID:77 
[10/05/21 16:11:15] Connect Session # IP:127.0.0.1 / SessionID:78 
[10/05/21 16:11:22] Frame : 26  Loop : 15091
[10/05/21 16:11:23] Connect Session # IP:127.0.0.1 / SessionID:79 
[10/05/21 16:11:59] Connect Session # IP:127.0.0.1 / SessionID:80 
[10/05/21 16:12:41] Frame : 26  Loop : 17995
[10/05/21 16:14:42] Frame : 27  Loop : 18940
[10/05/21 16:14:49] Frame : 26  Loop : 14977
[10/05/21 16:14:52] Frame : 24  Loop : 3548
[10/05/21 16:14:53] Frame : 28  Loop : 5324
[10/05/21 16:14:56] Frame : 26  Loop : 13782
[10/05/21 16:14:58] Frame : 26  Loop : 7164
[10/05/21 16:14:59] Frame : 24  Loop : 2974
[10/05/21 16:15:00] Frame : 27  Loop : 6885
[10/05/21 16:15:03] Frame : 26  Loop : 899
[10/05/21 16:15:04] Frame : 24  Loop : 2230
[10/05/21 16:15:05] Frame : 26  Loop : 3606
[10/05/21 16:15:06] Frame : 26  Loop : 6275
[10/05/21 16:15:07] Frame : 26  Loop : 6560
[10/05/21 16:15:10] Frame : 26  Loop : 18554
[10/05/21 16:16:00] Frame : 26  Loop : 16052
[10/05/21 16:16:38] Frame : 26  Loop : 9208
[10/05/21 16:16:39] Frame : 26  Loop : 8921
[10/05/21 16:16:41] Frame : 26  Loop : 11894
[10/05/21 16:16:55] Frame : 26  Loop : 15063
[10/05/21 16:17:30] Connect Session # IP:127.0.0.1 / SessionID:81 
[10/05/21 16:17:55] Frame : 26  Loop : 22379
[10/05/21 16:18:02] Frame : 26  Loop : 12383
[10/05/21 16:19:26] Frame : 26  Loop : 18104
[10/05/21 16:20:35] Frame : 26  Loop : 18362
[10/05/21 16:20:36] Frame : 28  Loop : 15481
[10/05/21 16:20:40] Connect Session # IP:127.0.0.1 / SessionID:82 
[10/05/21 16:24:04] Frame : 26  Loop : 11906
[10/05/21 16:24:22] Connect Session # IP:127.0.0.1 / SessionID:83 
[10/05/21 16:24:22] Frame : 26  Loop : 21005
[10/05/21 16:24:32] Connect Session # IP:127.0.0.1 / SessionID:84 
[10/05/21 16:24:36] Frame : 26  Loop : 19975
[10/05/21 16:24:42] Frame : 26  Loop : 18579
[10/05/21 16:24:45] Frame : 26  Loop : 12363
[10/05/21 16:24:46] Connect Session # IP:127.0.0.1 / SessionID:85 
[10/05/21 16:24:57] Frame : 26  Loop : 15816
